what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1336075407436
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1336075407439
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1336075407440
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1336075407443
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1336075407443
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1336075407445
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1336075407447
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1336075407451
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1336075407452
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1336075407455
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1336075407457
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1336075407459
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1336075407465
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1336075407467
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1336075407469
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1336075407471
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1336075407474
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1336075407476
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1336075407483
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1336075407485
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1336075407485
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1336075407563
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1336075407567
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1336075407570
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1336075407572
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1336075407576
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1336075407578
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1336075407582
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1336075407584
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1336075407588
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1336075407590
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1336075407592
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1336075407594
os,sysinfo,,,"win32",1336075407607
arch,sysinfo,,,"x86_64",1336075407607
ws,sysinfo,,,"win32",1336075407607
locale,sysinfo,,,"en_US",1336075407607
processors,sysinfo,,,"8",1336075407607
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1336075407607
java.runtime.version,sysinfo,,,"1.7.0_03-b05",1336075407607
java.specification.name,sysinfo,,,"Java Platform API Specification",1336075407607
java.specification.vendor,sysinfo,,,"Oracle Corporation",1336075407607
java.specification.version,sysinfo,,,"1.7",1336075407607
java.vendor,sysinfo,,,"Oracle Corporation",1336075407607
java.version,sysinfo,,,"1.7.0_03",1336075407607
java.vm.info,sysinfo,,,"mixed mode",1336075407607
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1336075407607
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1336075407607
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1336075407607
java.vm.specification.version,sysinfo,,,"1.7",1336075407607
java.vm.vendor,sysinfo,,,"Oracle Corporation",1336075407607
java.vm.version,sysinfo,,,"22.1-b02",1336075407607
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1336075408814
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336075409771
